commodity_code,commodity_code_indent,description,parent_commodity_code,declarable,leaf,start_date,end_date
0100000000,0,"Live animals",,,FALSE,FALSE,2021-01-01
0101000000,1,"Live horses, asses, mules and hinnies",0100000000,FALSE,FALSE,2021-01-01
0101210000,2,"Horses -- Pure-bred breeding animals",0101000000,FALSE,FALSE,2021-01-01
0101210010,3,"Horses -- Pure-bred breeding animals -- For racing",0101210000,TRUE,TRUE,2021-01-01
0101210090,3,"Horses -- Pure-bred breeding animals -- Other",0101210000,TRUE,TRUE,2021-01-01
0101290000,2,"Horses -- Other",0101000000,FALSE,FALSE,2021-01-01
0101290010,3,"Horses -- Other -- Weighing not more than 300 kg",0101290000,TRUE,TRUE,2021-01-01
0101290090,3,"Horses -- Other -- Weighing more than 300 kg",0101290000,TRUE,TRUE,2021-01-01
0101300000,2,"Asses",0101000000,TRUE,TRUE,2021-01-01
0101900000,2,"Mules and hinnies",0101000000,TRUE,TRUE,2021-01-01
0102000000,1,"Live bovine animals",0100000000,FALSE,FALSE,2021-01-01
0102210000,2,"Cattle -- Pure-bred breeding animals",0102000000,TRUE,TRUE,2021-01-01
0102290000,2,"Cattle -- Other",0102000000,FALSE,FALSE,2021-01-01
0102291010,3,"Cattle -- Other -- Domestic species weighing not more than 80 kg",0102290000,TRUE,TRUE,2021-01-01
0102291090,3,"Cattle -- Other -- Domestic species weighing more than 80 kg but not more than 160 kg",0102290000,TRUE,TRUE,2021-01-01
0200000000,0,"Meat and edible meat offal",,,FALSE,FALSE,2021-01-01
0201000000,1,"Meat of bovine animals, fresh or chilled",0200000000,FALSE,FALSE,2021-01-01
0201100000,2,"Carcasses and half-carcasses",0201000000,TRUE,TRUE,2021-01-01
0201200000,2,"Other cuts with bone in",0201000000,FALSE,FALSE,2021-01-01
0201200010,3,"Other cuts with bone in -- Compensated quarters",0201200000,TRUE,TRUE,2021-01-01
0201200090,3,"Other cuts with bone in -- Other",0201200000,TRUE,TRUE,2021-01-01
0201300000,2,"Boneless",0201000000,TRUE,TRUE,2021-01-01
0300000000,0,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,FALSE,FALSE,2021-01-01
